Scientific name,Common name,TP50,TP25,TP75
Ablennes hians,Psetta maxima,27,26,28
Abudefduf luridus,Canary damsel,20,19,20
Acanthistius brasilianus,Sea bass,14,13,16
Acanthocybium solandri,Wahoo,26,25,28
Acanthopagrus berda,Picnic seabream,27,25,29
Acanthopagrus bifasciatus,Twobar seabream,27,26,28
Acanthopagrus latus,Yellowfin seabream,27,26,29
Acanthopagrus schlegeli,Black porgy,17,16,20
Acanthurus sohal,Sohal surgeonfish,27,26,27
Acetes japonicus,Akiami paste shrimp,25,23,28
Aethaloperca rogaa,Redmouth grouper,27,26,29
Albula vulpes,Bonefish,27,25,28
Alectis alexandrinus,African threadfish,24,21,26
Alepes djedaba,Shrimp scad,27,26,29
Alepocephalus bairdii,Bairds smooth-head,12,7,17
Alepocephalus rostratus,Rissos smooth-head,19,17,21
Allocyttus niger,Black oreo,8,5,10
Alopias superciliosus,Bigeye thresher,27,25,28
Alopias vulpinus,Thintail thresher,25,21,28
Alosa aestivalis,Blueback shad,14,11,18
Alosa alosa,Allis shad,15,12,18
Alosa fallax,Twaite shad,15,12,18
Alosa mediocris,Hickory shad,18,14,21
Alosa pontica,Pontic shad,13,13,14
Alosa pseudoharengus,Alewife,8,6,11
Alosa sapidissima,American shad,11,8,14
Amblyraja hyperborea,Arctic skate,10,5,15
Ammodytes personatus,Pacific sandeel,14,11,16
Anadara granosa,Blood cockle,28,27,28
Anarhichas denticulatus,Northern wolffish,6,2,9
Anarhichas lupus,Wolf-fish,8,5,10
Anarhichas minor,Spotted wolffish,5,2,8
Anchoa hepsetus,Broad-striped anchovy,25,23,27
Anchoa mitchilli,Bay anchovy,23,20,25
Anodontostoma chacunda,Chacunda gizzard shad,28,28,28
Anoplopoma fimbria,Sablefish,11,7,15
Anthias anthias,Swallowtail seaperch,20,18,23
Antimora rostrata,Blue antimora,25,21,28
Aphanopus carbo,Black scabbardfish,11,7,15
Aphanopus intermedius,Intermediate scabbardfish,25,22,27
Aphareus rutilans,Rusty jobfish,27,26,29
Apostichopus japonicus,Japanese sea cucumber,17,14,21
Archosargus probatocephalus,Sheepshead seabream,26,24,28
Arctica islandica,Ocean quahog,8,5,11
Arctoscopus japonicus,Sailfin sandfish,5,4,8
Argentina silus,Greater argentine,7,3,10
Argentina sphyraena,Argentine,16,12,19
Argopecten circularis,Pacific calico scallop,26,23,28
Argopecten gibbus,Calico scallop,25,23,27
Argopecten irradians,Atlantic bay scallop,19,13,24
Argopecten purpuratus,Peruvian calico scallop,21,20,22
Argyrops spinifer,King soldierbream,27,27,28
Argyrosomus hololepidotus,Southern meagre,25,23,27
Argyrosomus regius,Meagre,19,16,21
Argyrozona argyrozona,Carpenter seabream,19,18,20
Ariomma indica,Indian ariomma,27,26,29
Aristeus antennatus,Blue and red shrimp,19,19,20
Aristeus varidens,Striped red shrimp,26,25,27
Arius thalassinus,Giant seacatfish,27,26,28
Arripis georgianus,Australian ruff,17,16,18
Arripis trutta,Eastern Australian salmon,16,15,17
Artemesia longinaris,Argentine stiletto shrimp,16,14,19
Atheresthes stomias,Arrowtooth flounder,8,4,13
Atherina boyeri,Big-scale sand smelt,14,11,17
Atherina presbyter,Sand smelt,16,13,18
Atractoscion aequidens,Geelbeck croaker,27,25,29
Atractoscion nobilis,White weakfish,15,12,20
Atrobucca nibe,Longfin kob,28,27,28
Atule mate,Yellowtail scad,27,27,28
Aulacomya ater,Cholga mussel,14,12,16
Austroglossus microlepis,West coast sole,17,17,18
Austroglossus pectoralis,Mud sole,21,18,23
Auxis rochei,Bullet tuna,27,26,28
Auxis thazard,Frigate tuna,27,25,28
Balistes capriscus,Grey triggerfish,25,22,27
Bathyraja eatonii,Eatons skate,0,-1,2
Bathyraja irrasa,Kerguelen sandpaper skate,3,3,3
Bathyraja maccaini,McCains skate,-2,-2,-1
Bathyraja meridionalis,Dark-belly skate,1,1,2
Bathyraja murrayi,Murrays skate,3,2,3
Belone belone,Garpike,15,12,18
Benthalbella elongata,Benthalbella elongata,8,5,11
Benthosema pterotum,Skinnycheek lanternfish,27,26,29
Beryx decadactylus,Alfonsino,23,17,26
Beryx splendens,Splendid alfonsino,27,25,28
Bolbometopon muricatum,Green humphead parrotfish,28,27,28
Boops boops,Bogue,20,16,24
Boreogadus saida,Polar cod,0,-1,3
Borostomias antarcticus,Borostomias antarcticus,19,14,23
Bothus pantherinus,Leopard flounder,27,26,29
Brachydeuterus auritus,Bigeye grunt,26,25,27
Brama brama,Atlantic pomfret,24,20,27
Bregmaceros mcclellandi,Spotted codlet,28,28,28
Brevoortia aurea,Brazilian menhaden,18,17,19
Brevoortia patronus,Gulf menhaden,24,24,26
Brevoortia pectinata,Argentine menhaden,17,16,18
Brevoortia tyrannus,Atlantic menhaden,18,14,22
Brosme brosme,Tusk,9,7,10
Brotula barbata,Bearded brotula,27,26,28
Buccinum undatum,Whelk,11,10,12
Callinectes danae,Dana's swimming crab,26,24,27
Callinectes sapidus,Blue crab,25,22,27
Callista chione,Smooth callista,12,10,14
Callorhinchus capensis,Cape elephantfish,22,19,25
Callorhinchus milii,Ghost shark,15,13,15
Cancer borealis,Jonah crab,12,8,16
Cancer irroratus,Atlantic rock crab,21,17,25
Cancer magister,Dungeness crab,10,7,13
Cancer pagurus,Edible crab,14,11,16
Cancer productus,Pacific rock crab,10,7,13
Capromimus abbreviatus,Capro dory,11,10,13
Capros aper,Boarfish,19,12,23
Carangoides bajad,Orangespotted trevally,28,28,28
Carangoides fulvoguttatus,Yellowspotted trevally,28,27,29
Carangoides malabaricus,Malabar trevally,27,26,29
Carangoides ruber,Bar jack,25,23,27
Caranx crysos,Blue runner,25,24,27
Caranx hippos,Crevalle jack,27,26,28
Caranx ignobilis,Giant trevally,27,26,28
Caranx melampygus,Bluefin trevally,28,27,28
Caranx rhonchus,False scad,24,21,26
Caranx sexfasciatus,Bigeye trevally,27,26,29
Carcharhinus brachyurus,Copper shark,26,23,28
Carcharhinus falciformis,Silky shark,26,25,28
Carcharhinus limbatus,Blacktip shark,27,26,28
Carcharhinus longimanus,Oceanic whitetip shark,27,26,28
Carcharhinus obscurus,Dusky shark,26,24,27
Carcharhinus plumbeus,Sandbar shark,26,25,28
Carcharhinus sorrah,Spottail shark,28,27,28
Carcharias taurus,Sand tiger shark,27,24,28
Carcharodon carcharias,Great white shark,24,20,27
Carcinus aestuarii,Mediterranean shore crab,19,18,20
Carcinus maenas,Green crab,13,9,16
Cardium edule,Common edible cockle,10,8,13
Caulolatilus chrysops,Atlantic goldeye tilefish,27,26,27
Caulolatilus princeps,Ocean whitefish,27,25,28
Centriscops humerosus,Banded yellowfish,17,17,18
Centroberyx affinis,Redfish,18,17,19
Centrolophus niger,Blackfish,19,15,23
Centrophorus granulosus,Gulper shark,24,21,26
Centrophorus lusitanicus,Lowfin gulper shark,27,26,28
Centrophorus squamosus,Leafscale gulper shark,22,18,25
Centropomus undecimalis,Common snook,27,27,27
Centropristis striata,Black seabass,19,14,23
Centroscyllium fabricii,Black dogfish,24,21,27
Centroscymnus coelolepis,Portuguese dogfish,20,16,23
Centroscymnus crepidater,Longnose velvet dogfish,23,19,26
Cephalopholis argus,Peacock hind,27,26,29
Cephalopholis fulva,Coney,27,26,27
Cephalopholis hemistiktos,Yellowfin hind,26,26,27
Cephalopholis miniata,Coral hind,28,27,28
Cepola macrophthalma,Red bandfish,18,11,23
Cervimunida johni,Carrot Squat Lobster,13,12,14
Cetengraulis edentulus,Atlantic anchoveta,27,26,28
Cetengraulis mysticetus,Pacific anchoveta,27,24,28
Cetorhinus maximus,Basking shark,18,13,21
Chaenocephalus aceratus,Blackfin icefish,-1,-1,-1
Chaenodraco wilsoni,Spiny icefish,-2,-2,-1
Champsocephalus gunnari,Mackerel icefish,-1,-2,1
Channichthys rhinoceratus,Unicorn icefish,3,3,4
Cheilodactylus variegatus,Peruvian morwong,18,17,19
Cheilopogon agoo,Japanese flyingfish,24,23,25
Cheimerius nufar,Santer seabream,26,24,28
Chelidonichthys capensis,Cape gurnard,19,16,22
Chelidonichthys gurnardus,Grey gurnard,11,5,17
Chelidonichthys kumu,Bluefin gurnard,27,25,28
Chelidonichthys lastoviza,Streaked gurnard,18,14,22
Chelidonichthys lucerna,Tub gurnard,15,8,22
Chelon haematocheilus,So-iny (redlip) mullet,19,18,21
Chelon labrosus,Thicklip grey mullet,14,10,18
Chimaera monstrosa,Rabbit fish,12,7,18
Chione stutchburyi,Stutchbury's venus,15,13,16
Chionobathyscus dewitti,Chionobathyscus dewitti,-2,-2,-1
Chionodraco myersi,Chionodraco myersi,-2,-2,-2
Chionodraco rastrospinosus,Ocellated icefish,-1,-2,-1
Chionoecetes opilio,Queen crab,4,2,6
Chirocentrus dorab,Dorab wolf-herring,28,27,28
Chirocentrus nudus,Whitefin wolf-herring,28,26,29
Chlamys islandica,Iceland scallop,8,5,11
Chlamys opercularis,Queen scallop,12,11,13
Chlamys varia,Variegated scallop,17,14,20
Chloroscombrus chrysurus,Atlantic bumper,27,25,29
Chloroscombrus orqueta,Pacific bumper,22,17,25
Choromytilus chorus,Choro mussel,12,11,13
Chromis chromis,Damselfish,23,20,25
Chrysophrys auratus,Squirefish,27,25,28
Ciliata mustela,Fivebeard rockling,7,3,11
Citharichthys sordidus,Pacific sanddab,17,8,23
Citharus linguatula,Atlantic spotted flounder,22,19,25
Clinocardium nuttallii,Nuttall cockle,7,5,10
Clupanodon thrissa,Chinese gizzard shad,27,26,28
Clupea harengus,Atlantic herring,8,5,11
Clupea harengus membras,Baltic herring,8,7,8
Clupea pallasii,Pacific herring,7,4,11
Clupeonella cultriventris,Black Sea sprat,14,14,14
Cololabis saira,Pacific saury,9,6,13
Concholepas concholepas,False abalone,12,11,14
Conger conger,European conger,16,9,22
Conger myriaster,Whitespotted conger,22,21,24
Conger oceanicus,American conger,25,23,27
Conger orbignyanus,Argentine conger,23,18,25
Conodon nobilis,Barred grunt,27,26,27
Coregonus albula,Vendace,9,8,10
Coregonus lavaretus,Common whitefish,10,8,12
Coregonus oxyrinchus,Houting,10,9,11
Coryphaena hippurus,Common dolphinfish,27,26,28
Coryphaenoides rupestris,Roundnose grenadier,10,6,13
Crangon crangon,Common shrimp,11,9,14
Crassostrea gigas,Pacific cupped oyster,13,10,16
Crassostrea iredalei,Slipper cupped oyster,28,28,28
Crassostrea rhizophorae,Mangrove cupped oyster,27,27,27
Crassostrea virginica,American cupped oyster,24,22,27
Crenidens crenidens,Karenteen seabream,26,24,28
Cryodraco antarcticus,Cryodraco antarcticus,-2,-2,-2
Ctenolabrus rupestris,Goldsinny-wrasse,11,7,15
Cyclopterus lumpus,Lumpsucker,7,3,10
Cynoscion analis,Peruvian weakfish,25,22,27
Cynoscion nebulosus,Spotted weakfish,23,20,26
Cynoscion regalis,Gray weakfish,15,12,18
Cynoscion striatus,South American striped weakfish,16,15,17
Cyttus traversi,King dory,18,17,20
Dalatias licha,Kitefin shark,23,19,26
Dasyatis akajei,Red stingray,28,26,29
Dasyatis centroura,Roughtail stingray,25,23,28
Dasyatis pastinaca,Common stingray,21,17,25
Deania calcea,Birdbeak dogfish,20,17,23
Decapterus maruadsi,Japanese scad,28,27,28
Decapterus russelli,Indian scad,28,27,28
Dentex angolensis,Angola dentex,28,26,29
Dentex congoensis,Congo dentex,27,25,27
Dentex dentex,Common dentex,19,17,20
Dentex macrophthalmus,Large-eye dentex,23,20,25
Dentex maroccanus,Morocco dentex,19,17,21
Diagramma pictum,Painted sweetlips,28,27,28
Diastobranchus capensis,Basketwork eel,17,15,19
Dicentrarchus labrax,European seabass,14,10,17
Dicentrarchus punctatus,Spotted seabass,18,16,20
Dicologlossa cuneata,Wedge sole,27,25,28
Diplectrum formosum,Sand seabass,26,25,27
Diplodus annularis,Annular seabream,13,10,17
Diplodus argenteus,South American silver porgy,27,26,27
Diplodus cervinus,Zebra seabream,21,18,24
Diplodus puntazzo,Sharpsnout seabream,23,20,25
Diplodus sargus,White seabream,22,19,25
Diplodus vulgaris,Common two-banded seabream,21,18,24
Dipturus batis,Blue skate,19,17,20
Dipturus laevis,Barndoor skate,8,6,10
Dipturus linteus,Sailray,6,3,9
Dipturus oxyrinchus,Longnosed skate,18,17,20
