ISSCAAP,TAXOCODE,3A_CODE,Scientific_name,Spanish_name,English_name,Author,Family,Order,Stats_data
11,1400200401,AAX,Aaptosyax grypus,,,Rainboth 1991,Cyprinidae,CYPRINIFORMES,ONWAAR
33,1901002801,AJS,Abalistes stellaris,Pejepuerco estrellado,Starry triggerfish,(Bloch & Schneider 1801),Balistidae,TETRAODONTIFORMES,ONWAAR
76,6931600101,BXC,Abatus cordatus,,,(Verrill 1876),Schizasteridae,ECHINOIDEA,ONWAAR
11,1400200501,ABB,Abbottina rivularis,,Chinese false gudgeon,(Basilewsky 1855),Cyprinidae,CYPRINIFORMES,ONWAAR
33,1782100101,ABW,Ablabys binotatus,,Redskinfish,(Peters 1855),Tetrarogidae,SCORPAENIFORMES,ONWAAR
37,1470100801,BAF,Ablennes hians,Agujón sable,Flat needlefish,(Valenciennes 1846),Belonidae,BELONIFORMES,WAAR
11,1400700101,ABE,Aborichthys elongatus,,,Hora 1921,Balitoridae,CYPRINIFORMES,ONWAAR
57,3211302001,BLK,Abralia andamanica,,,Goodrich 1898,Enoploteuthidae,CEPHALOPODA,ONWAAR
57,3211302002,BLJ,Abralia veranyi,Enoploluria de Verany,Verany's enope squid,(Rüppell 1844),Enoploteuthidae,CEPHALOPODA,ONWAAR
57,3211300101,BJF,Abraliopsis pfefferi,Enoploluria de Pfeffer,Pfeffer's enope squid,(Verany 1837),Enoploteuthidae,CEPHALOPODA,ONWAAR
11,1400200102,FBM,Abramis brama,Brema común,Freshwater bream,(Linnaeus 1758),Cyprinidae,CYPRINIFORMES,WAAR
11,14002001XX,FBR,Abramis spp,Bremas nep,Freshwater breams nei,,Cyprinidae,CYPRINIFORMES,WAAR
13,1380401001,ABQ,Abramites eques,,,(Steindachner 1878),Anostomidae,CHARACIFORMES,ONWAAR
33,1706205703,AUU,Abudefduf luridus,,Canary damsel,(Cuvier 1830),Pomacentridae,PERCOIDEI,ONWAAR
33,1706205702,ABU,Abudefduf saxatilis,,Sergeant-major,(Linnaeus 1758),Pomacentridae,PERCOIDEI,ONWAAR
33,1706205705,DDA,Abudefduf sordidus,,Blackspot sergeant,(Forsskål 1775),Pomacentridae,PERCOIDEI,ONWAAR
33,1706205704,DJJ,Abudefduf taurus,Petaca toro,Night sergeant,(Müller & Troschel 1848),Pomacentridae,PERCOIDEI,ONWAAR
33,1706205706,DDD,Abudefduf vaigiensis,,Indo-Pacific sergeant,(Quoy & Gaimard 1825),Pomacentridae,PERCOIDEI,ONWAAR
34,1580202001,OAG,Abyssobrotula galatheae,,,Nielsen 1977,Ophidiidae,OPHIDIIFORMES,ONWAAR
13,1783600101,AEZ,Abyssocottus elochini,,,Taliev 1955,Abyssocottidae,SCORPAENIFORMES,ONWAAR
34,1580600101,AHD,Abythites lepidogenys,,,(Smith & Radcliffe 1913),Bythitidae,OPHIDIIFORMES,ONWAAR
82,61919002XX,KQL,Acanella spp,,Branched bamboo coral,,Isididae,ANTHOZOA,ONWAAR
43,2294200101,NTK,Acanthacaris caeca,Cigala de fondo,Atlantic deep-sea lobster,(A. Milne Edwards 1881),Nephropidae,REPTANTIA,ONWAAR
43,2294200102,NHI,Acanthacaris tenuimana,Cigala raspa,Prickly deep-sea lobster,Bate 1888,Nephropidae,REPTANTIA,ONWAAR
