Species,FAO CODE
Acipenser sturio ,APU
Aequipecten opercularis ,QSC
Alloteuthis media ,OUM
Alopias vulpinus,ALV
Alosa alosa ,ASD
Alosa fallax ,TSD
Ammodytes spp,SAN
Anemonia sulcata,NOW
Anguilla anguilla,ELE
Anguilla anguilla ,ELE
Anguilla spp,ELX
Aphanopus carbo,BSF
Arenicola marina ,ARM
Argyrosomus regius,MGR
Aristaeopsis edwardsiana,SSH
Aristeus antennatus,ARA
Aristeus varidens,ARV
Arnoglossus kessleri,LEF
Ascophyllum nodosum,ASN
Atherinidae ,SIL
Auxis rochei ,BLT
Auxis rochei / Auxis thazard,FRZ
Balistes carolinensis,TRG
Barbus barbus,PTB
Belone belone,GAR
Belone belone ,GAR
Benthodesmus elongatus,BDL
Beryx decadactylus,BXD
Beryx splendens ,BYS
Beryx spp,ALF
Bivalvia spp,CLX
Boops boops,BOG
Bothus podas,OUB
Brachyura spp,CRA
Brama brama,POA
Brosme brosme,USK
Callionymus lyra,LYY
Callista chione ,KLK
Callorhinchus capensis ,CHM
Cancer pagurus,CRE
Cancer pagurus ,CRE
Carangidae spp,CGX
Carcinus maenas,CRG
Carcinus maenas ,CRG
Centrolophus niger,CEO
Centrophorus squamosus,GUQ
Cephalopoda spp,CEP
Cepola macrophthalma,CBC
Cerastoderma edule,COC
Cerastoderma edule ,COC
Cerastoderma glaucum,KTG
Chaceon affinis ,KEF
Chamelea gallina ,SVE
Charonia rubicunda,KRJ
Chelidonichthys lastoviza,CTZ
Chelon labrosus,MLR
Chlamys varia,VSC
Chondrus crispus,IMS
Ciliata mustela,LCM
Cirripedia spp,NO
Clupea harengus ,HER
Clupeoidei spp,CLU
Codium tomentosum,KJT
Conger conger,COE
Coris julis,COU
Coryphaena hippurus,DOL
Coryphaenoides rupestris,RNG
Crassostrea gigas ,OYG
Dentex dentex,DEC
Dentex gibbosus,DEP
Dentex macrophthalmus,DEL
Dicentrarchus labrax,BSS
Dicentrarchus punctatus ,SPU
Dicologlossa cuneata ,CET
Diopatra neapolitana ,DIN
Diplodus sargus ,SWA
Diplodus vulgaris,CTB
Donax trunculus ,DXL
Dosinia exoleta,DSX
Eledone cirrhosa ,EOI
Engraulis encrasicolus,ANE
Ensis arcuatus ,EQK
Ensis siliqua ,EQI
Epigonus telescopus,EPI
Epinephelus aeneus,GPW
Epinephelus itajara,EET
Etmopterus spinax,ETX
Euthynnus alletteratus,LTA
Fucus vesiculosus,FUV
Gadiformes spp,GAD
Gadus morhua,COD
Gaidropsarus mediterraneus,GGD
Gaidropsarus vulgaris ,GGU
Galeorhinus galeus,GAG
Galeus melastomus,SHO
Gastropoda spp,GAS
Genypterus capensis ,KCP
Glycimeris glycimeris ,GKL
Glyptocephalus cynoglossus,WIT
Gobius spp,GOB
Haliotis tuberculata,HLT
Hediste diversicolor,NER
Helicolenus dactylopterus,BRF
Himanthalia elongata,HLZ
Hippoglossus hippoglossus,HAL
Holothuria tubulosa,HFT
Homarus gammarus ,LBE
Hoplostethus mediterraneus,HPR
Illex coindeti,SQM
Illex coindetii ,SQM
Illex illecebrosus ,SQI
Istiophorus platypterus,SFA
Isurus oxyrinchus ,SMA
Katsuwonus pelamis,SKJ
