id,Codigo,CountryFishing,EEZarea,SubAreaEEZ,FAO Area,ICES Area,Year,Tipo,Tipo1,Tipo2,Tipo3,Fresco/Congelado,Origin,Taxon Name,FAO code,Common name_Spanish,Common name_Galician,Landings (tons),Landings (value in €)  ,Price Min. €/Kg ,Price Max. €/Kg ,Price Avrg €/Kg ,CatchType,Input,Notes: Fuente
7148,Noroeste1997,Spain,Spain,Noroeste,27,"VIIIc, IXa",1997,Peces,Peces de fondo,Esturiones,,Fresh,Offshore & Coastal,Acipenser sturio ,APU,Esturion,Sollo rei,0.0,,,,,Landing,National,PescadeGalicia
7149,Noroeste1998,Spain,Spain,Noroeste,27,"VIIIc, IXa",1998,Peces,Peces de fondo,Esturiones,,Fresh,Offshore & Coastal,Acipenser sturio ,APU,Esturion,Sollo rei,0.0,,,,,Landing,National,PescadeGalicia
7150,Noroeste1999,Spain,Spain,Noroeste,27,"VIIIc, IXa",1999,Peces,Peces de fondo,Esturiones,,Fresh,Offshore & Coastal,Acipenser sturio ,APU,Esturion,Sollo rei,0.0,,,,,Landing,National,PescadeGalicia
7151,Noroeste2000,Spain,Spain,Noroeste,27,"VIIIc, IXa",2000,Peces,Peces de fondo,Esturiones,,Fresh,Offshore & Coastal,Acipenser sturio ,APU,Esturion,Sollo rei,0.0,,,,,Landing,National,PescadeGalicia
7152,Noroeste2001,Spain,Spain,Noroeste,27,"VIIIc, IXa",2001,Peces,Peces de fondo,Esturiones,,Fresh,Offshore & Coastal,Acipenser sturio ,APU,Esturion,Sollo rei,0.0,,,,,Landing,National,PescadeGalicia
7153,Noroeste2002,Spain,Spain,Noroeste,27,"VIIIc, IXa",2002,Peces,Peces de fondo,Esturiones,,Fresh,Offshore & Coastal,Acipenser sturio ,APU,Esturion,Sollo rei,0.0,,,,,Landing,National,PescadeGalicia
7154,Noroeste2003,Spain,Spain,Noroeste,27,"VIIIc, IXa",2003,Peces,Peces de fondo,Esturiones,,Fresh,Offshore & Coastal,Acipenser sturio ,APU,Esturion,Sollo rei,0.0,,,,,Landing,National,PescadeGalicia
7155,Noroeste2004,Spain,Spain,Noroeste,27,"VIIIc, IXa",2004,Peces,Peces de fondo,Esturiones,,Fresh,Offshore & Coastal,Acipenser sturio ,APU,Esturion,Sollo rei,0.0,,,,,Landing,National,PescadeGalicia
7156,Noroeste2005,Spain,Spain,Noroeste,27,"VIIIc, IXa",2005,Peces,Peces de fondo,Esturiones,,Fresh,Offshore & Coastal,Acipenser sturio ,APU,Esturion,Sollo rei,0.0,,,,,Landing,National,PescadeGalicia
7157,Noroeste2006,Spain,Spain,Noroeste,27,"VIIIc, IXa",2006,Peces,Peces de fondo,Esturiones,,Fresh,Offshore & Coastal,Acipenser sturio ,APU,Esturion,Sollo rei,0.0,,,,,Landing,National,PescadeGalicia
7158,Noroeste2007,Spain,Spain,Noroeste,27,"VIIIc, IXa",2007,Peces,Peces de fondo,Esturiones,,Fresh,Offshore & Coastal,Acipenser sturio ,APU,Esturion,Sollo rei,0.2,"3,152",4.30,19.00,14.3,Landing,National,PescadeGalicia
7159,Noroeste2008,Spain,Spain,Noroeste,27,"VIIIc, IXa",2008,Peces,Peces de fondo,Esturiones,,Fresh,Offshore & Coastal,Acipenser sturio ,APU,Esturion,Sollo rei,0.0,,,,,Landing,National,PescadeGalicia
7160,Noroeste2009,Spain,Spain,Noroeste,27,"VIIIc, IXa",2009,Peces,Peces de fondo,Esturiones,,Fresh,Offshore & Coastal,Acipenser sturio ,APU,Esturion,Sollo rei,0.0,,,,,Landing,National,PescadeGalicia
7161,Noroeste2010,Spain,Spain,Noroeste,27,"VIIIc, IXa",2010,Peces,Peces de fondo,Esturiones,,Fresh,Offshore & Coastal,Acipenser sturio ,APU,Esturion,Sollo rei,0.0,,,,,Landing,National,PescadeGalicia
7162,Noroeste2011,Spain,Spain,Noroeste,27,"VIIIc, IXa",2011,Peces,Peces de fondo,Esturiones,,Fresh,Offshore & Coastal,Acipenser sturio ,APU,Esturion,Sollo rei,0.0,294,14.70,14.70,14.7,Landing,National,PescadeGalicia
19626,Noroeste2012,Spain,Spain,Noroeste,27,"VIIIc, IXa",2012,Peces,Peces de fondo,Esturiones,,Fresh,Offshore & Coastal,Acipenser sturio ,APU,Esturion,Sollo rei,0.0,371.95,3.7,17.58,9.97,Landing,National,PescadeGalicia
19627,Noroeste2013,Spain,Spain,Noroeste,27,"VIIIc, IXa",2013,Peces,Peces de fondo,Esturiones,,Fresh,Offshore & Coastal,Acipenser sturio ,APU,Esturion,Sollo rei,0.2,1884.64,2,22.4,9.06,Landing,National,PescadeGalicia
19628,Noroeste2014,Spain,Spain,Noroeste,27,"VIIIc, IXa",2014,Peces,Peces de fondo,Esturiones,,Fresh,Offshore & Coastal,Acipenser sturio ,APU,Esturion,Sollo rei,0.3,2341.66,2,22.88,8.98,Landing,National,PescadeGalicia
19629,Noroeste2015,Spain,Spain,Noroeste,27,"VIIIc, IXa",2015,Peces,Peces de fondo,Esturiones,,Fresh,Offshore & Coastal,Acipenser sturio ,APU,Esturion,Sollo rei,0.2,2364.87,1.67,20.25,9.6,Landing,National,PescadeGalicia
3950,Noroeste1986,Spain,Spain,Noroeste,27,"VIIIc, IXa",1986,Moluscos,Bivalvos,Vieiras,,Fresh,Offshore & Coastal,Aequipecten opercularis ,QSC,Volandeira,Volandeira,0.0,,,,,Landing,National,SIP
3951,Noroeste1987,Spain,Spain,Noroeste,27,"VIIIc, IXa",1987,Moluscos,Bivalvos,Vieiras,,Fresh,Offshore & Coastal,Aequipecten opercularis ,QSC,Volandeira,Volandeira,0.3,,,,,Landing,National,SIP
3952,Noroeste1988,Spain,Spain,Noroeste,27,"VIIIc, IXa",1988,Moluscos,Bivalvos,Vieiras,,Fresh,Offshore & Coastal,Aequipecten opercularis ,QSC,Volandeira,Volandeira,15.7,,,,,Landing,National,SIP
3953,Noroeste1989,Spain,Spain,Noroeste,27,"VIIIc, IXa",1989,Moluscos,Bivalvos,Vieiras,,Fresh,Offshore & Coastal,Aequipecten opercularis ,QSC,Volandeira,Volandeira,37.1,,,,,Landing,National,SIP
3954,Noroeste1990,Spain,Spain,Noroeste,27,"VIIIc, IXa",1990,Moluscos,Bivalvos,Vieiras,,Fresh,Offshore & Coastal,Aequipecten opercularis ,QSC,Volandeira,Volandeira,74.7,,,,,Landing,National,SIP
3955,Noroeste1991,Spain,Spain,Noroeste,27,"VIIIc, IXa",1991,Moluscos,Bivalvos,Vieiras,,Fresh,Offshore & Coastal,Aequipecten opercularis ,QSC,Volandeira,Volandeira,110.6,,,,,Landing,National,SIP
3956,Noroeste1992,Spain,Spain,Noroeste,27,"VIIIc, IXa",1992,Moluscos,Bivalvos,Vieiras,,Fresh,Offshore & Coastal,Aequipecten opercularis ,QSC,Volandeira,Volandeira,62.4,,,,,Landing,National,SIP
3957,Noroeste1993,Spain,Spain,Noroeste,27,"VIIIc, IXa",1993,Moluscos,Bivalvos,Vieiras,,Fresh,Offshore & Coastal,Aequipecten opercularis ,QSC,Volandeira,Volandeira,31.7,,,,,Landing,National,SIP
3958,Noroeste1994,Spain,Spain,Noroeste,27,"VIIIc, IXa",1994,Moluscos,Bivalvos,Vieiras,,Fresh,Offshore & Coastal,Aequipecten opercularis ,QSC,Volandeira,Volandeira,43.5,,,,,Landing,National,SIP
3959,Noroeste1995,Spain,Spain,Noroeste,27,"VIIIc, IXa",1995,Moluscos,Bivalvos,Vieiras,,Fresh,Offshore & Coastal,Aequipecten opercularis ,QSC,Volandeira,Volandeira,7.8,,,,,Landing,National,SIP
3960,Noroeste1996,Spain,Spain,Noroeste,27,"VIIIc, IXa",1996,Moluscos,Bivalvos,Vieiras,,Fresh,Offshore & Coastal,Aequipecten opercularis ,QSC,Volandeira,Volandeira,52.1,,,,,Landing,National,SIP
4643,Noroeste1997,Spain,Spain,Noroeste,27,"VIIIc, IXa",1997,Moluscos,Bivalvos,Vieiras,,Fresh,Offshore & Coastal,Aequipecten opercularis ,QSC,Volandeira,Volandeira,33.9,,,,,Landing,National,PescadeGalicia
4644,Noroeste1998,Spain,Spain,Noroeste,27,"VIIIc, IXa",1998,Moluscos,Bivalvos,Vieiras,,Fresh,Offshore & Coastal,Aequipecten opercularis ,QSC,Volandeira,Volandeira,34.0,,,,,Landing,National,PescadeGalicia
4645,Noroeste1999,Spain,Spain,Noroeste,27,"VIIIc, IXa",1999,Moluscos,Bivalvos,Vieiras,,Fresh,Offshore & Coastal,Aequipecten opercularis ,QSC,Volandeira,Volandeira,124.9,,,,,Landing,National,PescadeGalicia
4646,Noroeste2000,Spain,Spain,Noroeste,27,"VIIIc, IXa",2000,Moluscos,Bivalvos,Vieiras,,Fresh,Offshore & Coastal,Aequipecten opercularis ,QSC,Volandeira,Volandeira,67.1,,,,,Landing,National,PescadeGalicia
4647,Noroeste2001,Spain,Spain,Noroeste,27,"VIIIc, IXa",2001,Moluscos,Bivalvos,Vieiras,,Fresh,Offshore & Coastal,Aequipecten opercularis ,QSC,Volandeira,Volandeira,93.0,"200,924",0.90,14.90,2.2,Landing,National,PescadeGalicia
4648,Noroeste2002,Spain,Spain,Noroeste,27,"VIIIc, IXa",2002,Moluscos,Bivalvos,Vieiras,,Fresh,Offshore & Coastal,Aequipecten opercularis ,QSC,Volandeira,Volandeira,43.0,"122,433",0.64,8.41,2.8,Landing,National,PescadeGalicia
4649,Noroeste2003,Spain,Spain,Noroeste,27,"VIIIc, IXa",2003,Moluscos,Bivalvos,Vieiras,,Fresh,Offshore & Coastal,Aequipecten opercularis ,QSC,Volandeira,Volandeira,47.5,"208,162",1.00,11.00,4.4,Landing,National,PescadeGalicia
4650,Noroeste2004,Spain,Spain,Noroeste,27,"VIIIc, IXa",2004,Moluscos,Bivalvos,Vieiras,,Fresh,Offshore & Coastal,Aequipecten opercularis ,QSC,Volandeira,Volandeira,107.4,"372,156",0.95,13.35,3.5,Landing,National,PescadeGalicia
4651,Noroeste2005,Spain,Spain,Noroeste,27,"VIIIc, IXa",2005,Moluscos,Bivalvos,Vieiras,,Fresh,Offshore & Coastal,Aequipecten opercularis ,QSC,Volandeira,Volandeira,97.1,"345,585",1.20,12.00,3.6,Landing,National,PescadeGalicia
4652,Noroeste2006,Spain,Spain,Noroeste,27,"VIIIc, IXa",2006,Moluscos,Bivalvos,Vieiras,,Fresh,Offshore & Coastal,Aequipecten opercularis ,QSC,Volandeira,Volandeira,299.8,"713,335",1.00,9.79,2.4,Landing,National,PescadeGalicia
4653,Noroeste2007,Spain,Spain,Noroeste,27,"VIIIc, IXa",2007,Moluscos,Bivalvos,Vieiras,,Fresh,Offshore & Coastal,Aequipecten opercularis ,QSC,Volandeira,Volandeira,407.2,"693,884",0.40,8.25,1.7,Landing,National,PescadeGalicia
4654,Noroeste2008,Spain,Spain,Noroeste,27,"VIIIc, IXa",2008,Moluscos,Bivalvos,Vieiras,,Fresh,Offshore & Coastal,Aequipecten opercularis ,QSC,Volandeira,Volandeira,420.4,"684,778",0.40,7.00,1.6,Landing,National,PescadeGalicia
4655,Noroeste2009,Spain,Spain,Noroeste,27,"VIIIc, IXa",2009,Moluscos,Bivalvos,Vieiras,,Fresh,Offshore & Coastal,Aequipecten opercularis ,QSC,Volandeira,Volandeira,370.9,"572,795",0.30,7.00,1.5,Landing,National,PescadeGalicia
4656,Noroeste2010,Spain,Spain,Noroeste,27,"VIIIc, IXa",2010,Moluscos,Bivalvos,Vieiras,,Fresh,Offshore & Coastal,Aequipecten opercularis ,QSC,Volandeira,Volandeira,395.5,"714,353",0.60,8.70,1.8,Landing,National,PescadeGalicia
4657,Noroeste2011,Spain,Spain,Noroeste,27,"VIIIc, IXa",2011,Moluscos,Bivalvos,Vieiras,,Fresh,Offshore & Coastal,Aequipecten opercularis ,QSC,Volandeira,Volandeira,164.7,"465,745",0.75,9.35,2.8,Landing,National,PescadeGalicia
19651,Noroeste2012,Spain,Spain,Noroeste,27,"VIIIc, IXa",2012,Moluscos,Bivalvos,Vieiras,,Fresh,Offshore & Coastal,Aequipecten opercularis ,QSC,Volandeira,Volandeira,209.8,502288.2,0.6,9.7,2.39,Landing,National,PescadeGalicia
